Obs_Num,Samp_Site,Year,taxa_rich,ept_index ,perc_ept,fbi,perc_dom,perc_dipt_non_insect,perc_col_gath,s_tax_rich,s_ept_index,scor_ept,s_fbi,s_dom,s_dipt_non_insect,perc_col_gath,Total Score (Old),New Score,Max Health Score,Present Condition,Dominant Family,,
LWR1b5,LWR1,1994,8,0,0,6.468085106,0.463157895,0.863157895,0.126315789,3,0,0,3,3,0,6,15,9,15,0.6,Ceratopogonidae,,
LWR1d8,LWR1,1996,13,3,0.585858586,5.101010101,0.171717172,0.343434343,0.373737374,6,3,3,3,3,3,0,21,12,15,0.8,Hydropsychidae,,
LWR1r6,LWR1,2010,11,1,0.101796407,7.38742515,0.640718563,0.892215569,0.80239521,6,0,0,0,0,0,0,6,0,15,0,Culcidae,,
LWR1s7_1,LWR1,2011,8,1,0.161904762,6.511428571,0.39047619,0.8,0.80952381,3,0,0,3,3,0,0,9,3,15,0.2,Talitridae,,
LWR1s7_2,LWR1,2011,12,2,0.07,6.342857143,0.36,0.78,0.72,6,0,0,3,3,0,0,12,3,15,0.2,Ptilodactylia,,
LWR1t6,LWR1,2012,13,1,0.017094017,7.078947368,0.264957265,0.888888889,0.658119658,6,0,0,0,6,0,0,12,0,15,0,Chironomidae,,
LWR1v6,LWR1,2014,9,4,0.536842105,5.031578947,0.378947368,0.452631579,0.557894737,6,3,6,3,3,3,0,24,15,15,1,Chiron & Ephemeridae,,
LWR2a6,LWR2,1993,7,4,0.584615385,4.646153846,0.276923077,0.338461538,0.153846154,3,3,3,3,6,6,6,30,21,33,0.909090909,Hydropsychidae,,
LWR2d7,LWR2,1996,15,8,0.781818182,2.8,0.327272727,0.163636364,0.554545455,6,6,6,3,3,6,0,30,21,33,0.909090909,Siphlonuridae,,
LWR2s7,LWR2,2011,17,10,0.779005525,4.723756906,0.243093923,0.187845304,0.624309392,6,6,6,3,6,6,0,33,21,33,1,Caenidae,,
LWR2t6a,LWR2,2012,17,10,0.782945736,8.658914729,0.310077519,0.217054264,0.496124031,6,6,6,0,3,6,3,30,21,33,0.909090909,Heptageniidae,,
LWR2t6b,LWR2,2012,12,8,0.92,4.328,0.352,0.08,0.552,6,6,6,3,3,6,3,33,24,33,1,Baetidae,,
LWR3a6,LWR3,1993,9,6,0.964285714,1.773809524,0.720238095,0.023809524,0.041666667,6,6,6,6,0,6,6,36,30,36,1,Brachycentridae,,
